page,name,brand,link,image,price,old,new,cpu,cpu_brand,ram_capacity,ram_brand,hard_drive_type,hard_drive_capacity,card,card_brand,screen_size,screen_type
Thinkpro,MacBook Air 2022 (Apple M2),MacBook,https://thinkpro.vn/laptop/macbook-air-2022-apple-m2,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/6/7/macbook-air-starlight-gallery1-20220606.jpeg,28990000,0,1,Apple Apple M2,Apple,8GB,LPDDR5,SSD,256 GB,Apple GPU,Apple,13.4,2.5K
Thinkpro,Dell Precision 15 5560,Dell,https://thinkpro.vn/laptop/dell-precision-15-5560,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/dell-precision-5560-thinkpro-1.png,24990000,0,1,Intel Core i7 11850H,Intel,16GB,DDR4,SSD,1,Quadro RTX A2000 4GB,Quadro,15.6,FHD
Thinkpro,Lenovo ThinkPad X1 Carbon Gen 8,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-8,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/1/9/lenovo-thinkpad-x1-carbon-gen-8-thinkpro-01.png,12190000,0,1,Intel Core i5 10310U,Intel,16GB,LPDDR3,SSD,256 GB,Intel UHD 620,Intel,14,FHD
Thinkpro,Lenovo ThinkPad X1 Nano Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/lenovo-thinkpad-x1-nano-thinkpro-01.jpg,16990000,0,1,Intel Core i7 1160G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe Graphics,Intel,13,2K
Thinkpro,Lenovo ThinkPad X1 Carbon Gen 9,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-9,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/lenovo-thinkpadpad-x1-carbon-gen-9-thinkpro-01.jpg,16390000,0,1,Intel Core i5 1145G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Lenovo ThinkPad X1 Carbon Gen 7,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-7,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/20/lenovo-thinkpad-x1-carbon-gen-7-undefined-VkX.jpg,9990000,0,1,Intel Core i5 8365U,Intel,16GB,LPDDR3,SSD,512 GB,Intel UHD Graphics,Intel,14,FHD
Thinkpro,Lenovo ThinkPad T16 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-t16,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/8/20/lenovo-thinkpad-t16-gen-1-undefined-3cW.jpg,17990000,0,1,Intel Core i7 1255U,Intel,16GB,DDR4,SSD,512 GB,Intel UHD Graphics,Intel,16,FHD
Thinkpro,Lenovo ThinkPad P1 Gen 5,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-5,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/3/22/lenovo-thinkpad-p1-gen-5-thinkpro-1.png,29990000,0,1,Intel Core i7 12700H,Intel,16GB,DDR5,SSD,512 GB,Quadro RTX A1000 4GB,Quadro,16,4K
Thinkpro,Lenovo ThinkPad X1 Yoga Gen 6,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-yoga-gen-6,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/10/lenovo-thinkpad-x1-yoga-gen-6-1-1632801991.jpeg,17990000,0,1,Intel Core i7 1185G7,Intel,32GB,LPDDR4X,SSD,512 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Acer Nitro 5 Tiger,Acer,https://thinkpro.vn/laptop/acer-nitro-5-tiger,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/7/21/acer-nitro-5-tiger-thinkpro-cI3.png,20790000,0,1,Intel Core i7 12650H,Intel,16GB,DDR4,SSD,1,Geforce RTX 4050 6GB,Geforce,15.6,FHD
Thinkpro,Microsoft Surface Pro 7 Plus,Microsoft,https://thinkpro.vn/laptop/microsoft-surface-pro-7-plus,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/microsoft-surface-pro-7-thinkpro-01.jpg,10790000,0,1,Intel Core i5 1135G7,Intel,8GB,LPDDR4X,SSD,128 GB,Intel Iris Xe Graphics,Intel,12.3,3K
Thinkpro,Lenovo ThinkPad T14s Gen 3,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-t14s-gen-3,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/20/lenovo-thinkpad-t14s-gen-3-undefined-XmO.jpg,14990000,0,1,Intel Core i7 1265U,Intel,16GB,LPDDR4,SSD,256 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Lenovo ThinkPad X13 Gen 2,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x13-gen-2-amd,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/2/lenovo-thinkpad-x13-gen2.png,13690000,0,1,Intel Core i7 1185G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe Graphics,Intel,13,FHD
Thinkpro,Dell Inspiron 15 3511,Dell,https://thinkpro.vn/laptop/dell-inspiron-15-3511,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/8/28/dell-inspiron-15-3511-thinkpro.jpg,9990000,0,1,Intel Core i5 1135G7,Intel,16GB,DDR4,SSD,512 GB,Intel Iris Xe Graphics,Intel,15.6,FHD
Thinkpro,Lenovo ThinkPad X1 Extreme Gen 3,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-extreme-gen-3,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/1/9/lenovo-thinkpad-x1-extreme-gen-3-thinkpro-01.png,19990000,0,1,Intel Core i7 10850H,Intel,32GB,DDR4,SSD,1,Geforce GTX 1650Ti Max-Q 4GB,Geforce,15.6,FHD
Thinkpro,Lenovo ThinkPad X1 Extreme Gen 4 (Intel),Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-extreme-gen-4-intel,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/4/14/Lenovo%20ThinkPad%20X1%20Extreme%20Gen%204%202.jpg,28690000,0,1,Intel Core i7 11850H,Intel,32GB,DDR4,SSD,512 GB,NVIDIA GeForce RTX 3070 8GB,NVIDIA,16,4K
Thinkpro,Lenovo ThinkPad P1 Gen 4 (Intel),Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p1-gen-4-intel,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/24/lenovo-thinkpad-p1-gen-4-intel-undefined-Dl0.jpg,24990000,0,1,Intel Core i7 11850H,Intel,32GB,DDR4,SSD,1,Quadro T1200M 4GB,Quadro,16,4K
Thinkpro,Lenovo Thinkpad T14 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-t14,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/9/30/Lenovo-Thinkpad-T14-thinkpro-01.jpg,10390000,0,1,Intel Core i7 10510U,Intel,16GB,DDR4,SSD,256 GB,Intel UHD Graphics,Intel,14,FHD
Thinkpro,Dell Latitude 9430 2-in-1,Dell,https://thinkpro.vn/laptop/dell-latitude-9430-2-in-1,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/10/26/dell-latitude-9430-2-in-1-thinkpro-1.jpg,18990000,0,1,Intel Core i5 1245U,Intel,16GB,LPDDR5,SSD,256 GB,Intel Iris Xe graphics,Intel,14,2.5K
Thinkpro,Dell XPS 13 2 in 1 9315 (2022),Dell,https://thinkpro.vn/laptop/dell-xps-13-2-in-1-9315-2022,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/25/dell-xps-13-2-in-1-9315-2022-undefined.jpg,26990000,0,1,Intel Core i7 1250U,Intel,16GB,LPDDR4X,SSD,512 GB,Intel Iris Xe Graphics,Intel,13,3K
Thinkpro,Lenovo ThinkBook 14 G4+ (AMD),Lenovo,https://thinkpro.vn/laptop/lenovo-thinkbook-14-g4-amd,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/1/9/lenovo-thinkbook-14-g4-amd-thinkpro-01.png,16390000,0,1,AMD Ryzen 7 6800H,AMD,16GB,LPDDR5,SSD,512 GB,AMD Radeon 660M Graphics,AMD,14,3K
Thinkpro,Lenovo ThinkPad X1 Extreme Gen 5,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-extreme-gen-5,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://media-api-beta.thinkpro.vn/media/core/products/2024/10/28/lenovo-thinkpad-x1-extreme-gen-5-undefined-qne.jpg,28790000,0,1,Intel Core i7 12700H,Intel,16GB,DDR5,SSD,256GB,GeForce RTX 3050Ti 4GB,GeForce,16,4K
Thinkpro,Dell Latitude 7430,Dell,https://thinkpro.vn/laptop/dell-latitude-7430,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/4/1/Dell-Latitude-7430-ThinkPro-01.png,14990000,0,1,Intel Core i7 1265U,Intel,32GB,DDR4,SSD,256 GB,Intel Iris Xe Graphics,Intel,14,FHD
Thinkpro,Dell Precision 15 7560,Dell,https://thinkpro.vn/laptop/dell-precision-15-7560,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/12/dell-precision-15-7560-undefined.jpg,29990000,0,1,Intel Xeon W-11855M,Intel,32GB,DDR4,SSD,1,Nvidia Quadro RTX A4000 8GB,Nvidia,15.6,FHD
Thinkpro,Dell Latitude 9420,Dell,https://thinkpro.vn/laptop/dell-latitude-9420,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/22/dell-latitude-9420-undefined.jpg,16990000,0,1,Intel Core i7 1185G7,Intel,16GB,LPDDR4X,SSD,256 GB,Intel Iris Xe,Intel,14,2.5K
Thinkpro,Lenovo ThinkPad X13 Gen 3,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x13-gen-3,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/11/1/lenovo-thinkpad-x13-gen-3-thinkpro-01.png,14790000,0,1,Intel Core i7 1265U,Intel,16GB,LPDDR5,SSD,256 GB,Intel Iris Xe Graphics,Intel,13.3,FHD
Thinkpro,Lenovo IdeaPad 5 15ALC05,Lenovo,https://thinkpro.vn/laptop/lenovo-ideapad-5-15,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/3/lenovo-ideapad-5-15alc05-undefined-1n6.jpg,12390000,0,1,AMD Ryzen 7 5825U,AMD,16GB,DDR4,SSD,512 GB,AMD Radeon Series-roi,AMD,15.6,FHD
Thinkpro,Lenovo ThinkPad P15v Gen 3,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15v-gen-3,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/9/12/lenovo-thinkpad-p15v-gen-3-undefined-qd5.jpg,23390000,0,1,Intel Core i7-12700H,Intel,16GB,DDR5,SSD,512 GB,NVIDIA T1200M 4GB,NVIDIA,15.6,FHD
Thinkpro,Lenovo Slim 7 16 Gen 7,Lenovo,https://thinkpro.vn/laptop/lenovo-slim-7-16-gen-7,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2022/11/1/lenovo-yoga-slim-7i-pro-thinkpro-01.png,19990000,0,1,Intel Core i7 12700H,Intel,32GB,LPDDR5,SSD,1,Arc A370M 4GB,Arc,16,2.5K
Thinkpro,Lenovo ThinkPad X12 Detachable,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-x12-detachable,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2023/7/25/lenovo-thinkpad-x12-detachable-thinkpro.jpg,18490000,0,1,Intel Core i7 1160G7,Intel,16GB,LPDDR4X,SSD,512 GB,Intel Iris Xe Graphics,Intel,12.3,FHD
Thinkpro,Lenovo Yoga 7 2 in 1 14AHP9,Lenovo,https://thinkpro.vn/laptop/lenovo-yoga-7-2-in-1-14ahp9,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/2/lenovo-yoga-7-2-in-1-14ahp9-undefined-Zt3.jpg,14390000,0,1,AMD Ryzen 5 8640HS,AMD,8GB,LPDDR5,SSD,512 GB,AMD Radeon 760M Graphics,AMD,14,FHD
Thinkpro,LG Gram 16 2024,LG,https://thinkpro.vn/laptop/lg-gram-16-2024,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/21/lg-gram-16-2024-undefined.jpg,36990000,0,1,Intel Core Ultra 7 155H,Intel,32GB,LPDDR5,SSD,2,Intel Arc graphics,Intel,16,2.5K
Thinkpro,Lenovo Xiaoxin Pro 16 2024,Lenovo,https://thinkpro.vn/laptop/lenovo-xiaoxin-pro-16-2024,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/21/lenovo-xiaoxin-pro-16-2024-undefined.jpg,22990000,0,1,AMD Ryzen 7 8745H,AMD,24GB,LPDDR5X,SSD,1,AMD Radeon 780M,AMD,16,2.5K
Thinkpro,Lenovo ThinkPad P14s Gen 4,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p14s-gen-4,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/3/lenovo-thinkpad-p14s-gen-4-undefined-5rR.jpg,22790000,0,1,Intel Core i7 1360P,Intel,16GB,LPDDR5x,SSD,512 GB,Intel UHD Graphics,Intel,14,FHD
Thinkpro,Apple Macbook Pro 16 2019,Apple,https://thinkpro.vn/laptop/apple-macbook-pro-16,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/28/apple-macbook-pro-16-2019-undefined-9Nw.jpg,17990000,0,1,Intel Core i9 9880H,Intel,16GB,DDR4,SSD,1,AMD Radeon 5500M 4GB,AMD,16,3K
Thinkpro,Asus Zenbook 14 OLED Q415,Asus,https://thinkpro.vn/laptop/asus-zenbook-14-oled-q415,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/4/23/asus-zenbook-14-oled-q415-undefined.jpeg,15490000,0,1,Intel Core Ultra 5 125H,Intel,8GB,LPDDR5,SSD,512 GB,Intel Arc Graphics,Intel,14,FHD
Thinkpro,Dell Inspiron 14 5445,Dell,https://thinkpro.vn/laptop/dell-inspiron-14-5445,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/2/dell-inspiron-14-5445-undefined-3ce.jpg,16990000,0,1,AMD Ryzen 7 8840HS,AMD,16GB,DDR5,SSD,512 GB,AMD Radeon 780M,AMD,14,2K
Thinkpro,Dell Latitude 7530,Dell,https://thinkpro.vn/laptop/dell-latitude-7530,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/5/19/dell-latitude-7530-undefined.jpg,13990000,0,1,Intel Core i7 1270P,Intel,16GB,LPDDR5,SSD,512 GB,Intel Iris Xe Graphics eligible,Intel,15.6,FHD
Thinkpro,Acer Swift Go 14 AI 2024,Acer,https://thinkpro.vn/laptop/acer-swift-go-14-2024,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/12/acer-swift-go-14-2024-undefined.jpg,17990000,0,1,Intel Core Ultra 7 155H,Intel,16GB,LPDDR5X,SSD,1,Intel ARC Graphics,Intel,14,FHD
Thinkpro,Dell XPS 13 9345 (Snapdragon X Elite),Dell,https://thinkpro.vn/laptop/dell-xps-13-9345-snapdragon-x-elite,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/7/4/dell-xps-13-9345-snapdragon-x-elite-thinkpro.jpg,36990000,0,1,Snapdragon X Elite,Snapdragon,16GB,LPDDR5X,SSD,512 GB,Qualcomm Adreno GPU,Qualcomm,13.4,FHD
Thinkpro,Lenovo ThinkPad P15 Gen 1,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkpad-p15-gen-1,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/6/12/lenovo-thinkpad-p15-gen-1-undefined.jpg,17290000,0,1,Intel Core i7 10750H,Intel,16GB,DDR4,SSD,512 GB,Nvidia Quadro T1000 4GB,Nvidia,15.6,FHD
Thinkpro,Lenovo Slim 7 ProX,Lenovo,https://thinkpro.vn/laptop/lenovo-slim-7-prox,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/10/lenovo-slim-7-prox-thinkpro-Svz.jpg,24790000,0,1,Intel Core i7 12700H,Intel,16GB,LPDDR5,SSD,512 GB,Geforce RTX 3050 4GB,Geforce,14.5,3K
Thinkpro,Acer Swift Go SFG14-73-71ZX NX.KSLSV.002,Acer,https://thinkpro.vn/laptop/acer-swift-go-sfg14-73-71zx-nxkslsv002,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/2/laptop-acer-swift-go-sfg14-73-71zx-nxkslsv002-undefined.jpg,26590000,0,1,Intel Core Ultra 7-155H,Intel,16GB,LPDDR5x,SSD,512 GB,Intel Arc Graphics,Intel,14,FHD
Thinkpro,ASUS Vivobook Pro 15 OLED Q533,ASUS,https://thinkpro.vn/laptop/asus-vivobook-pro-15-oled-q533,,24990000,0,1,,, ,,SSD,,,,,
Thinkpro,Asus Gaming ROG Zephyrus G14 GA403UU-QS101W,Asus,https://thinkpro.vn/laptop/asus-gaming-rog-zephyrus-g14-ga403uu-qs101w,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/1/laptop-asus-gaming-rog-zephyrus-g14-ga403uu-qs101w-undefined.jpg,50990000,0,1,AMD Ryzen 9 8945HS,AMD,32GB,LPDDR5X,SSD,512 GB,RTX 4050 6GB,RTX,14,3K
Thinkpro,Asus Gaming ROG Zephyrus G16 GU605MV-QR196WS,Asus,https://thinkpro.vn/laptop/asus-gaming-rog-zephyrus-g16-gu605mv-qr196ws,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/1/laptop-asus-gaming-rog-zephyrus-g16-gu605mv-qr196ws-undefined-oUO.jpg,63990000,0,1,Intel Core Ultra 9 185H,Intel,32GB,LPDDR5X,SSD,1,RTX 4060 8GB,RTX,16,2.5K
Thinkpro,Acer Swift Lite 14 AI SFL14-51M-56HS,Acer,https://thinkpro.vn/laptop/acer-swift-lite-14-ai-sfl14-51m-56hs,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/2/laptop-acer-swift-lite-14-ai-sfl14-51m-56hs-undefined-8Wf.jpg,18490000,0,1,Intel Core Ultra 5 125U,Intel,16GB,DDR5,SSD,512 GB,Intel Arc Graphics,Intel,14,FHD
Thinkpro,Lenovo ThinkBook 14 G7 IRL 21MR006WVN,Lenovo,https://thinkpro.vn/laptop/lenovo-thinkbook-14-g7-irl-21mr006wvn,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://media-api-beta.thinkpro.vn/media/core/products/2024/10/25/laptop-lenovo-thinkbook-14-g7-irl-21mr006wvn-undefined.jpg,19390000,0,1,Intel Core Ultra 5 125U,Intel,16GB,DDR5,SSD,512,Intel Graphics,Intel,14,FHD
Thinkpro,Acer Swift X 14 AI SFX14-72G-708X,Acer,https://thinkpro.vn/laptop/acer-swift-x-14-ai-sfx14-72g-708x,https://imagor.owtg.one/unsafe/fit-in/1000x1000/filters:quality(100)/https://d28jzcg6y4v9j1.cloudfront.net/media/core/products/2024/10/3/laptop-acer-swift-x-14-ai-sfx14-72g-708x-undefined.jpg,46990000,0,1,Intel Core Ultra 7 155H,Intel,32GB,LPDDR5,SSD,1,RTX 4060 8GB,RTX,14.5,3K
